 [ 5.68628718e+01  7.41112135e+01]
 [ 5.77681546e+01  6.98685677e+01]
 [ 5.50867499e+01  5.47011834e+01]
 [ 5.29278988e+01  6.75665687e+01]
 [ 4.67173342e+01  6.67053406e+01]
 [ 5.72787114e+01  7.33659553e+01]
 [ 7.56029477e+01  4.27600154e+01]
 [ 5.08714534e+01  7.22950466e+01]
 [ 6.20723730e+01  6.01985083e+01]
 [ 4.78093074e+01  5.33974150e+01]
 [ 2.94249698e+01  3.49832432e+01]
 [ 6.24033653e+01  6.11784540e+01]
 [ 4.21763337e+01  5.40881368e+01]
 [ 6.20047893e+01  3.68951233e+01]
 [ 2.85867059e+01  5.18537531e+01]
 [ 4.68739837e+01  4.08381797e+01]
 [ 6.21624593e+01  5.42276126e+01]
 [ 6.39392823e+01  7.20230660e+01]
 [ 5.93369052e+01  4.53291567e+01]
 [ 3.21994863e+01  6.19951832e+01]
 [ 5.64889130e+01  4.32990824e+01]
 [ 6.51107009e+01  5.89146353e+01]
 [ 3.96867753e+01  5.35924541e+01]
 [ 7.48315148e+01  5.73743469e+01]
 [ 6.15292757e+01  4.32988552e+01]
 [ 7.56301829e+01  4.31242408e+01]
 [ 6.23068627e+01  5.83466544e+01]
 [ 2.64581595e+01  3.55506676e+01]
 [ 6.44439553e+01  3.78637368e+01]
 [ 5.76709340e+01  4.53449685e+01]
 [ 5.89205996e+01  5.38078022e+01]
 [ 5.70604579e+01  5.51644178e+01]
 [ 6.15142107e+01  4.30893481e+01]
 [ 5.11517433e+01  5.94318393e+01]
 [ 6.20132930e+01  5.50022142e+01]
 [ 6.41381576e+01  3.19264642e+01]
 [ 3.94706433e+01  4.78022056e+01]
 [ 6.64671975e+01  3.49903706e+01]
 [ 6.37898977e+01  3.07287497e+01]
 [ 6.69621555e+01  3.57571834e+01]
 [ 6.43169282e+01  3.36662211e+01]
 [ 5.29664642e+01  6.40022922e+01]
 [ 5.83869605e+01  7.14575238e+01]
 [-1.23964811e+01 -2.08895343e+01]
 [ 3.44704990e+01  4.89201663e+01]
 [ 4.87316060e+01  7.31754879e+01]
 [ 6.39078188e+01  3.38577353e+01]
 [ 2.51032854e+01  5.66327641e+01]
 [ 5.02044040e+01  7.61172051e+01]
 [ 5.68938179e+01  3.06556181e+01]
 [ 3.68470967e+01  6.13261992e+01]
 [ 5.84909940e+01  5.11260677e+01]
 [ 5.78556771e+01  3.03872409e+01]
 [ 5.06509587e+01  3.93745948e+01]
 [ 3.62312193e+01  5.01495614e+01]
 [ 3.35333817e+01  5.62492321e+01]
 [ 3.47755278e+01  3.94036190e+01]
 [-1.24495223e+01 -2.10456524e+01]
 [ 2.88519345e+01  6.09998763e+01]
 [ 5.21388227e+01  3.42265103e+01]
 [ 5.86729954e+01  7.56456614e+01]
 [ 5.21323990e+01  3.42019191e+01]
 [ 2.89265580e+01  5.46170653e+01]
 [ 4.33632439e+01  6.16554376e+01]
 [ 6.26884018e+01  3.45882026e+01]
 [ 4.70785104e+01  2.91504503e+01]
 [ 5.64715182e+01  3.61141287e+01]
 [ 5.82521851e+01  3.52654237e+01]
 [ 5.80698790e+01  3.17293980e+01]
 [ 4.50225592e+01  3.62573245e+01]
 [ 2.74567093e+01  3.89860713e+01]
 [ 5.82046865e+01  3.51867483e+01]
 [ 6.10991506e+01  4.07237944e+01]
 [ 6.90867675e+01  6.47318735e+01]
 [ 4.11782410e+01  3.81107216e+01]
 [ 3.94740773e+01  5.35642296e+01]
 [ 5.83986431e+01  3.09177769e+01]
 [ 5.04671908e+01  3.38568570e+01]
 [ 6.10887251e+01  3.58442664e+01]
 [ 5.15902929e+01  4.20709231e+01]
 [ 4.80112844e+01  3.17126460e+01]
 [ 5.03642684e+01  7.61358358e+01]
 [ 4.87913979e+01  6.77557755e+01]
 [ 5.70623115e+01  2.87280378e+01]
 [ 5.69511383e+01  2.87286928e+01]
 [ 5.05373442e+01  3.37771203e+01]
 [-4.86491620e+01  6.90473516e+01]
 [ 5.16005864e+01  3.72545718e+01]
 [ 3.88799055e+01  3.91949938e+01]
 [ 3.15641548e+01  4.64860194e+01]
 [ 4.71297629e+01  2.96068133e+01]
 [ 5.67336904e+01  3.15848136e+01]
 [ 4.71111949e+01  2.95627091e+01]
 [ 5.10405842e+01  7.67030396e+01]
 [ 5.69245488e+01  2.90677075e+01]
 [-7.22412862e+01 -5.85220885e+01]
 [-1.34820855e+01 -9.82017182e+01]
 [-5.13057029e+01 -7.63418161e+01]
 [-2.39782437e+01 -9.20437977e+01]
 [-8.08929035e+01 -6.41096262e+01]
 [-2.22217538e+01 -7.84481681e+01]
 [-8.09592160e+01 -4.92911594e+01]
 [-5.93403959e+01 -8.04127725e+01]
 [-2.80708228e+01 -8.53372461e+01]
 [-1.52206708e+01 -9.16082442e+01]
 [-6.66646641e+01 -5.39253545e+01]
 [-6.14333062e+01 -7.00558165e+01]
 [-3.54749665e+01 -8.10156580e+01]
 [-9.60743047e+00 -9.84158005e+01]
 [-3.55795149e+01 -8.31484413e+01]
 [-2.46512294e+01 -7.80218510e+01]
 [-7.90907817e+01 -6.70726148e+01]
 [-1.10329278e+01 -8.76887065e+01]
 [-2.30937857e+01 -7.91952190e+01]
 [-1.91430979e+01 -9.85413789e+01]
 [-4.95826560e+01 -8.03187191e+01]
 [-6.22480414e+01 -6.80807667e+01]
 [-1.22966730e+01 -9.88699141e+01]
 [-2.91778766e+01 -9.24442588e+01]
 [-2.10868484e+01 -9.35150449e+01]
 [-5.09023387e+01 -8.12541309e+01]
 [ 4.11483758e+01 -1.15268237e+01]
 [-1.37420752e+01 -9.53056587e+01]
 [-5.19218804e+01 -6.78942015e+01]
 [-2.76306029e+01 -8.55916902e+01]
 [-8.23768186e+01 -5.44530752e+01]
 [-3.22257363e+01 -6.97924615e+01]
 [-5.46403590e+01 -7.46468841e+01]
 [-2.71239286e+01 -8.84879702e+01]
 [-5.92583243e+01 -6.70456308e+01]
 [-6.93057144e+01 -5.91867137e+01]
 [-5.36761889e+01 -7.89370037e+01]
 [-6.44033446e+01 -7.03160386e+01]
 [-5.12895725e+01 -6.54453813e+01]
 [-6.17821315e+01 -6.38127958e+01]
 [-2.96489972e+01 -6.60915759e+01]
 [-3.07029850e+01 -6.74563305e+01]
 [-5.77372413e+01 -6.55345205e+01]
 [-2.95803416e+01 -6.62767885e+01]
 [-4.23255945e+01 -6.66812580e+01]
 [-2.95790332e+01 -7.70128997e+01]
 [-3.11874920e+01 -6.82455956e+01]
 [-2.02320242e+01  2.10468219e+00]
 [-7.24769769e+01 -5.36318148e+01]
 [-2.90906455e+01 -6.69633577e+01]
 [-3.10682723e+01 -6.81384663e+01]
 [-2.92958575e+01 -6.57140373e+01]
 [-6.46570186e+01 -5.81970258e+01]
 [-8.36929002e+01 -5.87900373e+01]
 [-2.23225260e+01 -8.83429599e+01]
 [-1.46924244e+01 -8.64567765e+01]
 [-2.89598548e+01 -7.60333967e+01]
 [-6.47534319e+01 -5.55298020e+01]
 [-7.91969843e+01 -4.90450877e+01]
 [-5.17070783e+01 -7.82960004e+01]
 [-2.34236633e+01 -7.94166478e+01]
 [-8.54579854e+01 -5.01427442e+01]
 [-2.47352761e+01 -9.15842995e+01]
 [-3.36006449e+01 -7.70279574e+01]
 [-1.59497808e+01 -8.49726653e+01]
 [-4.89191583e+01 -8.21016540e+01]
 [-2.25753241e+01 -7.93771049e+01]
 [-1.46779554e+01 -9.29621984e+01]
 [-5.73486438e+01 -6.08163700e+01]
 [-4.31389184e+00 -3.06545566e+01]
 [-7.94081465e+01 -5.36423753e+01]
 [-7.28871111e+01 -5.28936528e+01]
 [-1.65736123e+01 -9.06341090e+01]
 [-1.27112751e+01 -9.14694304e+01]
 [-1.10068500e+01 -9.59680812e+01]
 [-5.94661439e+01 -7.93170391e+01]
 [-2.52806536e+01 -7.89753812e+01]
 [-6.40776153e+01 -6.59802047e+01]
 [-3.58623733e+01 -8.54592952e+01]
 [-7.16869213e+01 -5.59576999e+01]
 [-3.98315003e+01 -7.70405329e+01]
 [-3.34544202e+01 -8.44077823e+01]
 [-8.41394677e+01 -4.46017998e+01]
 [-3.20745038e+01 -7.66158372e+01]
 [-3.16803451e+01 -7.65666565e+01]
 [-8.16154992e+01 -4.73386036e+01]
 [-3.77258283e+01 -7.65760865e+01]
 [-4.27754293e+01 -8.51933795e+01]
 [-7.02496398e+01 -5.81879636e+01]
 [-3.28565967e+01 -7.66238861e+01]
 [-7.46004883e+01 -5.09063529e+01]
 [-7.54352683e+01 -6.14732530e+01]
 [-3.66818038e+01 -8.54802342e+01]
 [-4.24366794e+01 -7.38159735e+01]
 [-5.93829167e+01 -7.44835169e+01]
 [-2.85677090e+01 -7.54950366e+01]
 [-8.04345798e+01 -5.22850796e+01]
 [-3.79158648e+01 -8.29522028e+01]
 [-3.87022496e+01 -7.96377199e+01]
 [-2.25537751e+01 -9.36339359e+01]
 [-5.85691842e+01 -6.09804222e+01]
 [-8.01855114e+01 -6.43968753e+01]
 [-3.49512303e+01 -8.57253681e+01]
 [-8.32325950e+01 -4.96323504e+01]
 [-5.11924681e+01 -6.64236393e+01]
 [-8.32420700e+01 -4.97640767e+01]
 [-4.21908918e+01 -6.71265718e+01]
 [-1.49746726e+01 -9.79070465e+01]
